| Object_Name | AGN_Type | Chi2_Test1 | Reduced_Chi2_Test1 | Chi2_Test2 | Reduced_Chi2_Test2 |
| --- | --- | --- | --- | --- | --- |
| PGC024141 | S1.8 | 1198.9699 | 2.7065 | 9046.4082 | 20.3748 |
| PGC023859 | S2 | 453.1919 | 1.0093 | 1651.6114 | 3.6702 |
| PGC1376353 | S1.5 | 157.6937 | 1.0801 | 777.9857 | 5.2924 |
| PGC3095819 | S1.5 | 181.8476 | 1.2717 | 842.7975 | 5.8528 |
| PGC086000 | S1.8 | 1083.9676 | 1.0009 | 4046.0600 | 3.7325 |
| ESO254-017 | S2 | 875.5064 | 1.2525 | 30934.9195 | 44.1927 |
| PGC017883 | S2 | 692.9759 | 1.0014 | 3542.6537 | 5.1121 |
| ESO209-012 | S1.5 | 1033.6454 | 1.1043 | 4284.8100 | 4.5729 |
| IC2202 | S2 | 915.5200 | 1.0150 | 3397.2296 | 3.7622 |
| PGC326141 | S2 | 1081.3951 | 1.1793 | 4771.0205 | 5.1972 |
| ESO055-002 | S2 | 931.2593 | 1.0189 | 3371.3526 | 3.6845 |
| PGC268761 | S2 | 1024.6482 | 1.1272 | 3991.7706 | 4.3866 |
| ESO033-002 | S2 | 1248.7356 | 1.1541 | 6057.4374 | 5.5932 |
