| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| PGC2299180 | S2 | 1119.6384 | 1.0188 | 3691.9876 | 3.3564 |
| PGC3130973 | S2 | 1111.2812 | 1.0066 | 4254.1559 | 3.8499 |
| PGC3130735 | S2 | 1127.8374 | 1.0244 | 3299.8118 | 2.9944 |
| PGC3131114 | S2 | 1098.1132 | 1.0028 | 3904.7926 | 3.5628 |
| PGC023893 | S2 | 1103.5631 | 1.0005 | 3998.3562 | 3.6217 |
| PGC3129854 | S2 | 1231.1574 | 1.1142 | 22168.8414 | 20.0442 |
| PGC3130998 | S2 | 1103.5302 | 1.0014 | 3269.0357 | 2.9638 |
| PGC2239209 | S2 | 1199.6565 | 1.0926 | 4173.1364 | 3.7972 |
| PGC3130417 | S2 | 1194.4844 | 1.0919 | 3870.0561 | 3.5343 |
| PGC3130827 | S2 | 1106.9288 | 1.0045 | 8896.7501 | 8.0660 |
| PGC2243578 | S2 | 1120.3794 | 1.0185 | 4091.0758 | 3.7158 |
| PGC2327571 | S2 | 1096.8318 | 1.0090 | 4313.9370 | 3.9650 |
| PGC3130579 | S2 | 1151.9460 | 1.0482 | 4368.3737 | 3.9712 |
| PGC3131698 | S2 | 1195.9008 | 1.0931 | 8130.9910 | 7.4256 |
| PGC2307344 | S2 | 1105.0851 | 1.0037 | 4377.1957 | 3.9720 |
| PGC2161398 | S2 | 1159.1505 | 1.0519 | 27724.9147 | 25.1359 |
| PGC2194315 | S2 | 1131.8983 | 1.0262 | 3549.2086 | 3.2149 |
| PGC2327890 | S2 | 1275.6133 | 1.1596 | 4661.0966 | 4.2335 |
| PGC2276217 | S2 | 1105.8404 | 1.0062 | 4544.6719 | 4.1315 |
| PGC2275964 | S2 | 1140.8968 | 1.0344 | 4505.1098 | 4.0807 |
| PGC2293211 | S2 | 1104.3392 | 1.0076 | 3881.7137 | 3.5385 |
| PGC3131684 | S2 | 1178.0100 | 1.0807 | 13953.6054 | 12.7897 |
| UGC04068 | S2 | 1177.8774 | 1.0660 | 45128.6948 | 40.8035 |
| PGC2312978 | S2 | 1263.0713 | 1.1441 | 5831.3162 | 5.2772 |
| PGC3129830 | S2 | 1247.2787 | 1.1349 | 3416.7221 | 3.1061 |
| PGC023088 | S2 | 1100.8872 | 1.0231 | 3978.0203 | 3.6936 |
| PGC2248911 | S2 | 1099.0035 | 1.0000 | 3755.2697 | 3.4139 |
| PGC2328725 | S2 | 1108.5174 | 1.0087 | 4536.4854 | 4.1241 |
| PGC3130545 | S2 | 1101.2546 | 1.0002 | 3378.0629 | 3.0654 |
| PGC2299453 | S2 | 1157.2177 | 1.0473 | 8041.0601 | 7.2704 |
| 2MASXJ08112462+4608514 | S2 | 1150.9740 | 1.0482 | 3206.5501 | 2.9177 |
| PGC2269577 | S2 | 1140.1264 | 1.0460 | 4891.0450 | 4.4831 |
| PGC2329903 | S2 | 1103.6739 | 1.0043 | 3611.9366 | 3.2836 |
| PGC2336827 | S2 | 1148.0380 | 1.0504 | 3791.7590 | 3.4660 |
| PGC2308662 | S2 | 1215.1042 | 1.1006 | 4499.4967 | 4.0719 |
| PGC2324054 | S2 | 1136.6660 | 1.0515 | 10137.6565 | 9.3694 |
| PGC2253220 | S2 | 1140.7014 | 1.0379 | 6710.0996 | 6.1001 |
| 2MASXJ07441664+4200591 | S2 | 1098.0452 | 1.0092 | 2919.0451 | 2.6805 |
| PGC3131800 | S2 | 1137.8970 | 1.0420 | 3325.4926 | 3.0425 |
| PGC2318858 | S2 | 1120.6670 | 1.0160 | 3691.6670 | 3.3439 |
| PGC3129697 | S2 | 1224.9764 | 1.1136 | 2944.7895 | 2.6746 |
| PGC2208769 | S2 | 1108.1297 | 1.0083 | 3642.5154 | 3.3114 |
| PGC2210011 | S2 | 1223.3177 | 1.1071 | 3650.6701 | 3.3008 |
| PGC2311572 | S2 | 1103.8122 | 1.0007 | 4970.6063 | 4.5024 |
| PGC3129914 | S2 | 1248.6715 | 1.1383 | 3976.0603 | 3.6212 |
| PGC2287229 | S2 | 1150.3999 | 1.0468 | 3700.2014 | 3.3638 |
| PGC2334450 | S2 | 1133.1189 | 1.0329 | 3246.1910 | 2.9565 |
| PGC3130122 | S2 | 1105.0438 | 1.0055 | 2975.5242 | 2.7050 |
| PGC2233697 | S2 | 1102.1014 | 1.0010 | 8020.9106 | 7.2785 |
| PGC2323517 | S2 | 1177.8300 | 1.0717 | 3661.7419 | 3.3289 |
| PGC2337891 | S2 | 1155.2034 | 1.0531 | 3292.0029 | 2.9982 |
| 2MASXJ08281196+4451156 | S2 | 1103.5525 | 1.0078 | 4130.8309 | 3.7690 |
| PGC2249517 | S2 | 1184.1958 | 1.0726 | 3920.9356 | 3.5484 |
| PGC2303198 | S2 | 1101.0091 | 1.0000 | 7524.0289 | 6.8276 |
| PGC2309118 | S2 | 1109.1057 | 1.0037 | 5841.0363 | 5.2812 |
| PGC2209282 | S2 | 1147.6113 | 1.0452 | 3856.2053 | 3.5088 |
| PGC2253604 | S2 | 1139.4032 | 1.0387 | 8593.2996 | 7.8263 |
| PGC2324870 | S2 | 1125.7237 | 1.0225 | 4007.3254 | 3.6364 |
| PGC3130350 | S2 | 1098.1415 | 1.0001 | 3638.1962 | 3.3105 |
| PGC2251474 | S2 | 1246.2766 | 1.1309 | 3558.9484 | 3.2266 |
| PGC2358001 | S2 | 1130.6034 | 1.0269 | 3765.5370 | 3.4170 |
| PGC3131205 | S2 | 1379.0050 | 1.2605 | 4885.2726 | 4.4614 |
| PGC2240683 | S2 | 1101.1935 | 1.0011 | 3782.9811 | 3.4360 |
| PGC3129873 | S2 | 1220.1310 | 1.1042 | 3457.5469 | 3.1262 |
| PGC3131225 | S2 | 1204.8860 | 1.0934 | 3728.0923 | 3.3800 |
| PGC3129657 | S2 | 1112.3588 | 1.0186 | 3473.9614 | 3.1784 |
| PGC3128540 | S2 | 1158.4334 | 1.0512 | 7829.8692 | 7.0987 |
| PGC2094703 | S2 | 1115.8474 | 1.0218 | 3096.1295 | 2.8327 |
| PGC2038357 | S2 | 1307.9663 | 1.1858 | 4724.9058 | 4.2798 |
| 2MASXJ07334376+3148298 | S2 | 1084.0300 | 1.0000 | 3602.2482 | 3.3200 |
| PGC2088466 | S2 | 1115.6038 | 1.0123 | 6485.7627 | 5.8801 |
| PGC2104250 | S2 | 1119.4103 | 1.0176 | 3180.7059 | 2.8889 |
| PGC2119648 | S2 | 1102.6190 | 1.0051 | 3810.8627 | 3.4707 |
| PGC2040009 | S2 | 1108.8962 | 1.0072 | 7321.3001 | 6.6436 |
| PGC3128741 | S2 | 1107.4295 | 1.0058 | 3922.9665 | 3.5599 |
| PGC2121353 | S2 | 1102.4230 | 1.0022 | 3427.9813 | 3.1135 |
| 2MASXJ07512112+3838140 | S2 | 1099.2055 | 1.0011 | 3025.4624 | 2.7529 |
| PGC3128539 | S2 | 1155.3216 | 1.0532 | 3508.0379 | 3.1949 |
| PGC2098568 | S2 | 1107.8613 | 1.0026 | 6582.5667 | 5.9517 |
| PGC2080924 | S2 | 1177.0204 | 1.0661 | 3516.0220 | 3.1819 |
| 2MASXJ07435046+3307493 | S2 | 1167.9650 | 1.0666 | 3168.9181 | 2.8913 |
| PGC3128994 | S2 | 1137.7036 | 1.0324 | 5740.9906 | 5.2049 |
| PGC2112259 | S2 | 1113.7106 | 1.0097 | 3855.8565 | 3.4926 |
| PGC3128615 | S2 | 1191.9655 | 1.0915 | 4948.9967 | 4.5279 |
| PGC3128636 | S2 | 1109.5058 | 1.0059 | 3935.4844 | 3.5648 |
| PGC3128946 | S2 | 1179.0249 | 1.0718 | 3694.3107 | 3.3554 |
| PGC2061401 | S2 | 1114.2624 | 1.0084 | 3121.2881 | 2.8221 |
| 2MASXJ07351859+3232028 | S2 | 1184.3354 | 1.0895 | 10373.7617 | 9.5347 |
| 2MASXJ07425283+3843395 | S2 | 1148.9705 | 1.0493 | 4413.6012 | 4.0270 |
| PGC2115514 | S2 | 1100.0073 | 1.0000 | 4769.6729 | 4.3321 |
| PGC3128477 | S2 | 1098.4519 | 1.0004 | 3381.8370 | 3.0772 |
| 2MASXJ07453974+3414107 | S2 | 1107.4507 | 1.0040 | 12053.9538 | 10.9184 |
| 2MASXJ07471136+3847586 | S2 | 1304.9653 | 1.2027 | 37709.5338 | 34.7233 |
| PGC2052778 | S2 | 1189.2124 | 1.0841 | 3684.8324 | 3.3559 |
| PGC2121524 | S2 | 1132.8267 | 1.0336 | 3420.7561 | 3.1183 |
| PGC3128545 | S2 | 1102.8267 | 1.0044 | 3665.7572 | 3.3355 |
| PGC3128472 | S2 | 1116.4117 | 1.0158 | 3305.2064 | 3.0047 |
| PGC3128454 | S2 | 1098.6144 | 1.0116 | 3710.2539 | 3.4133 |
| NGC2410 | S2 | 1144.3652 | 1.0547 | 4198.1786 | 3.8657 |
| PGC3128900 | S2 | 1394.1809 | 1.2617 | 9078.0269 | 8.2080 |
| PGC3128634 | S2 | 1072.1834 | 1.0030 | 7728.7528 | 7.2231 |
| PGC2088793 | S2 | 1183.2384 | 1.0698 | 31557.2656 | 28.5070 |
| PGC1979377 | S2 | 1107.9056 | 1.0054 | 3447.0165 | 3.1251 |
| 2MASXJ07460867+3456117 | S2 | 1119.3399 | 1.0139 | 9225.0342 | 8.3484 |
| PGC2126846 | S2 | 1209.5232 | 1.1026 | 3067.0293 | 2.7933 |
| PGC2094334 | S2 | 1199.7844 | 1.0907 | 8070.8468 | 7.3305 |
