| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| PGC1153147 | S2 | 2618515.5710 | 3400.6696 | 2018227.7444 | 2617.6754 |
| PGC3118129 | S2 | 1823151.5687 | 2358.5402 | 252042.7383 | 325.6366 |
| PGC073830 | S2 | 2479801.1461 | 3208.0222 | 612790.5545 | 791.7191 |
| PGC1156721 | S2 | 3789314.3144 | 4927.5869 | 188972.2469 | 245.4185 |
| PGC3116286 | S2 | 2402306.0342 | 3115.8314 | 83631.5341 | 108.3310 |
| PGC3109783 | S2 | 2015395.3566 | 2577.2319 | 592714.2216 | 756.9786 |
| PGC3112438 | S2 | 3061929.3936 | 3976.5317 | 270574.1849 | 350.9393 |
| PGC1172968 | S2 | 3357653.0593 | 4366.2589 | 18104.9681 | 23.5129 |
| PGC073837 | S2 | 2503659.8232 | 3247.2890 | 1133551.0761 | 1468.3304 |
| PGC3102595 | S2 | 859.7654 | 1.0601 | 3546.8461 | 4.3680 |
| NGC0166 | S2 | 805.8216 | 1.0035 | 2581.8732 | 3.2113 |
| SDSSJ002531.45-104022.2 | S2 | 918.5463 | 1.1525 | 2991.9385 | 3.7493 |
| IC0009 | S2 | 869.6053 | 1.0938 | 2532.7695 | 3.1819 |
| NGC0291 | S2 | 864.5629 | 1.0660 | 3842.7111 | 4.7324 |
| PGC001884 | S2 | 811.0266 | 1.0000 | 2553.3491 | 3.1445 |
| PGC101950 | S2 | 843.6295 | 1.0454 | 3938.7302 | 4.8747 |
| PGC101952 | S2 | 819.7495 | 1.0120 | 3582.4074 | 4.4173 |
| PGC101956 | S2 | 817.1653 | 1.0002 | 3513.0235 | 4.2946 |
| IC1833 | S2 | 805.4084 | 1.0030 | 3125.3875 | 3.8873 |
| IC1859 | S2 | 810.1152 | 1.0064 | 3460.3087 | 4.2932 |
| IC1816 | S2 | 759.0206 | 1.0000 | 3445.5202 | 4.5336 |
| ESO299-020 | S2 | 816.0352 | 1.0150 | 3092.4913 | 3.8416 |
| ESO411-029 | S2 | 928.9862 | 1.1441 | 3353.4025 | 4.1247 |
| ESO353-009 | S2 | 798.0551 | 1.0102 | 3412.3712 | 4.3140 |
| IC1657 | S2 | 813.4627 | 1.0006 | 2841.6821 | 3.4910 |
| ESO353-038 | S2 | 894.1120 | 1.0971 | 3621.4826 | 4.4381 |
| ESO351-025 | S2 | 806.4435 | 1.0195 | 2911.5693 | 3.6762 |
| ESO248-010 | S2 | 920.3523 | 1.1293 | 3319.2478 | 4.0677 |
| PGC131221 | S1.5 | 933.2949 | 1.1623 | 5688.1961 | 7.0749 |
| ESO200-009 | S1.9 | 828.0109 | 1.0210 | 3590.0404 | 4.4212 |
| ESO153-020 | S2 | 767.5513 | 1.0020 | 2648.2075 | 3.4527 |
| ESO116-018 | S2 | 756.4901 | 1.0100 | 3373.9362 | 4.4986 |
| PGC097511 | S2 | 751.0075 | 1.0000 | 2907.8017 | 3.8668 |
| PGC397822 | S1.5 | 863.2892 | 1.0554 | 3973.7517 | 4.8520 |
| NGC1566 | S1.5 | 821.6011 | 1.0020 | 29933.3656 | 36.4596 |
| ESO157-023 | S2 | 1087.6919 | 1.3562 | 3175.0370 | 3.9540 |
| ESO033-002 | S2 | 826.3658 | 1.0127 | 3210.8279 | 3.9300 |
| ESO055-002 | S2 | 864.9310 | 1.0639 | 4695.9936 | 5.7690 |
| PGC268761 | S2 | 873.1503 | 1.0661 | 5590.7708 | 6.8180 |
| IC2202 | S2 | 830.5216 | 1.0228 | 3547.7361 | 4.3638 |
| ESO121-028 | S2 | 899.1016 | 1.1086 | 3305.1213 | 4.0703 |
| PGC326141 | S2 | 925.9125 | 1.1459 | 4986.6792 | 6.1640 |
