| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| PGC002634 | S2 | 839.6436 | 1.0792 | 5861.6905 | 7.5246 |
| ESO541-001 | S2 | 794.5994 | 1.0033 | 2349.5481 | 2.9629 |
| ESO540-001 | S1.8 | 973.0426 | 1.2317 | 4578.5666 | 5.7883 |
| IC0078 | S2 | 834.8027 | 1.0230 | 4164.8955 | 5.0978 |
| ESO540-014 | S2 | 974.0091 | 1.2190 | 3410.8792 | 4.2636 |
| PGC3102154 | S2 | 806.5093 | 1.0031 | 2670.9872 | 3.3180 |
| PGC006047 | S2 | 835.8993 | 1.0800 | 3761.7128 | 4.8538 |
| NGC0640 | S2 | 805.7293 | 1.0072 | 2344.3522 | 2.9268 |
| PGC004577 | S2 | 3800661.9508 | 4929.5226 | 2848984.4918 | 3690.3944 |
| PGC1170304 | S2 | 3336754.9755 | 4339.0832 | 472624.4845 | 613.7980 |
| PGC094060 | S2 | 2184314.6680 | 2825.7628 | 669663.6316 | 865.1985 |
| PGC1125140 | S2 | 1100619.1682 | 1433.0979 | 840188.0974 | 1092.5723 |
| PGC1163639 | S2 | 3022587.2179 | 3925.4379 | 250240.8517 | 324.5666 |
| 2MASXJ01260690-0001304 | S2 | 3442478.4938 | 4476.5650 | 572784.2114 | 743.8756 |
| PGC1175724 | S2 | 2610929.1822 | 3390.8171 | 719528.0456 | 933.2400 |
| PGC1174853 | S2 | 3110967.0316 | 4045.4708 | 93544.9131 | 121.4869 |
| PGC004968 | S1.5 | 3289456.7111 | 4272.0217 | 670794.2374 | 870.0314 |
| PGC3110976 | S2 | 3099215.1939 | 4030.1888 | 310623.5405 | 403.4072 |
| PGC1157149 | S2 | 2977211.1853 | 3871.5360 | 640927.8661 | 832.3739 |
| PGC3115967 | S2 | 2423276.9318 | 3147.1129 | 1648894.8508 | 2138.6444 |
| PGC1186753 | S2 | 3445798.4826 | 4475.0630 | 156644.7054 | 203.1708 |
