| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| SDSSJ165641.98+632307.7 | S1.8 | 996.8513 | 1.0029 | 24960.7195 | 25.0862 |
| PGC2648277 | S2 | 1185.8444 | 1.0674 | 4405.7213 | 3.9620 |
| PGC3135565 | S2 | 1155.4134 | 1.0289 | 8431.1525 | 7.5010 |
| PGC2580033 | S2 | 1106.6031 | 1.0015 | 3426.3603 | 3.0980 |
| PGC3140013 | S2 | 1175.2360 | 1.0327 | 3902.5819 | 3.4263 |
| PGC2588519 | S2 | 1158.9917 | 1.0320 | 4987.0650 | 4.4369 |
| PGC3139201 | S2 | 1158.9270 | 1.0229 | 4405.9318 | 3.8853 |
| PGC2546780 | S2 | 1126.0790 | 1.0027 | 5782.6047 | 5.1447 |
| PGC2639903 | S2 | 1144.0064 | 1.0000 | 5723.5724 | 4.9988 |
| 2MASXJ17043832+5946593 | S2 | 1201.0515 | 1.0676 | 4382.4085 | 3.8920 |
| PGC3137771 | S2 | 1267.9268 | 1.1402 | 6112.3856 | 5.4918 |
| PGC2651330 | S2 | 1213.4685 | 1.0854 | 4571.3137 | 4.0852 |
| PGC097545 | S2 | 1222.8509 | 1.0736 | 5224.2167 | 4.5826 |
| PGC2636237 | S2 | 1324.7193 | 1.2462 | 5531.3143 | 5.1986 |
| PGC2656178 | S2 | 1074.4912 | 1.0023 | 4050.1237 | 3.7746 |
| PGC3135441 | S2 | 1177.3210 | 1.0391 | 4798.7783 | 4.2317 |
| PGC3137681 | S2 | 1769.7856 | 1.5844 | 20513.6190 | 18.3485 |
| SDSSJ172603.07+602115.6 | S2 | 1158.1348 | 1.0434 | 5771.4309 | 5.1948 |
| PGC2612892 | S2 | 1259.3242 | 1.1274 | 11400.0180 | 10.1968 |
| PGC2661814 | S2 | 1392.4642 | 1.2247 | 6398.8031 | 5.6228 |
| PGC3135640 | S2 | 1570.2164 | 1.3678 | 20068.7208 | 17.4662 |
| PGC3136612 | S2 | 1348.3943 | 1.1756 | 541659.2061 | 471.8286 |
| PGC3139163 | S2 | 1163.3045 | 1.0222 | 4530.5018 | 3.9776 |
| PGC3135624 | S2 | 1508.7023 | 1.3363 | 6407.7571 | 5.6706 |
| PGC3137700 | S2 | 1180.1005 | 1.0758 | 6154.5489 | 5.6052 |
| PGC3136684 | S2 | 1135.2633 | 1.0002 | 5002.4119 | 4.4035 |
| PGC3137164 | S2 | 1211.1172 | 1.0931 | 4770.0684 | 4.3012 |
| PGC3136317 | S2 | 1131.0616 | 1.0001 | 5448.8234 | 4.8134 |
| PGC2514311 | S2 | 1445.4711 | 1.2680 | 6200.4941 | 5.4343 |
| PGC3137995 | S2 | 1153.8775 | 1.0157 | 6762.6856 | 5.9478 |
| PGC2640097 | S2 | 1161.9649 | 1.0310 | 4266.0321 | 3.7819 |
| PGC3136484 | S2 | 1136.3497 | 1.0047 | 7678.1100 | 6.7828 |
| PGC3138820 | S2 | 1202.5508 | 1.0623 | 4732.9213 | 4.1773 |
| PGC3137399 | S2 | 1141.5051 | 1.0358 | 4060.4108 | 3.6812 |
| PGC2580511 | S2 | 1132.2964 | 1.0379 | 6037.7656 | 5.5291 |
| PGC2532265 | S2 | 1362.8137 | 1.2168 | 5376.7815 | 4.7964 |
| PGC2585390 | S2 | 1135.1455 | 1.0001 | 4684.7175 | 4.1239 |
| PGC2600291 | S2 | 1110.1114 | 1.0028 | 4963.1911 | 4.4794 |
| PGC2633897 | S2 | 1136.4225 | 1.0004 | 5378.8670 | 4.7308 |
| PGC2560827 | S2 | 1158.6793 | 1.0164 | 4295.4379 | 3.7646 |
| PGC3137183 | S2 | 1193.2223 | 1.0485 | 5236.8517 | 4.5978 |
| PGC2647147 | S2 | 1214.9387 | 1.0799 | 6042.9990 | 5.3668 |
| PGC3136419 | S2 | 1277.0809 | 1.1403 | 6875.4598 | 6.1333 |
| PGC3138144 | S2 | 1107.6321 | 1.0042 | 4209.6311 | 3.8131 |
| PGC3139048 | S2 | 1106.2517 | 1.0002 | 4393.7561 | 3.9691 |
| PGC059581 | S2 | 1326.3682 | 1.1896 | 5544.2017 | 4.9679 |
| SDSSJ172630.22+615344.1 | S2 | 1641.8366 | 1.5077 | 10797.6218 | 9.9061 |
| PGC060453 | S2 | 1157.1993 | 1.0098 | 4362.9425 | 3.8038 |
| PGC3139537 | S2 | 1495.4471 | 1.3129 | 5353.6967 | 4.6962 |
| UGC10889 | S2 | 1138.5087 | 1.0165 | 5243.9447 | 4.6779 |
| PGC2506355 | S2 | 1146.0061 | 1.0026 | 4570.9071 | 3.9955 |
| PGC2576659 | S2 | 1245.7893 | 1.1143 | 6620.4723 | 5.9164 |
| PGC2507362 | S2 | 1465.3965 | 1.2854 | 8927.8573 | 7.8246 |
