| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| PGC654356 | S1.5 | 1229.5999 | 1.0412 | 5897.9310 | 4.9898 |
| ESO538-025 | S2 | 1217.5060 | 1.0004 | 4175.3472 | 3.4280 |
| PGC089423 | S2 | 1527.8243 | 1.2533 | 6797.6841 | 5.5719 |
| IC1495 | S2 | 1941.3478 | 1.5965 | 7051.0732 | 5.7938 |
| PGC3093285 | S2 | 1203.8396 | 1.0007 | 4933.7200 | 4.0978 |
| ESO602-031 | S1.8 | 1397.0574 | 1.1461 | 36458.7710 | 29.8842 |
| PGC101950 | S2 | 1230.8786 | 1.0114 | 4974.5782 | 4.0842 |
| PGC130048 | S2 | 1383.3927 | 1.1330 | 6134.0785 | 5.0197 |
| PGC093365 | S2 | 1225.7788 | 1.0130 | 4442.2814 | 3.6683 |
| PGC539558 | S2 | 1352.0342 | 1.1091 | 4961.2824 | 4.0666 |
| PGC539867 | S2 | 1378.7924 | 1.1329 | 5520.3283 | 4.5323 |
| PGC073694 | S2 | 2115.6587 | 1.7499 | 16439.8540 | 13.5867 |
| PGC546480 | S2 | 1221.0001 | 1.0000 | 5053.7807 | 4.1357 |
| PGC101952 | S2 | 1244.6249 | 1.0210 | 7192.1531 | 5.8952 |
| ESO195-035 | S2 | 1445.2481 | 1.1905 | 8693.0856 | 7.1548 |
| PGC537626 | S2 | 1307.8875 | 1.0747 | 4870.6131 | 3.9989 |
| PGC101956 | S2 | 1239.9044 | 1.0230 | 7958.9580 | 6.5614 |
| ESO351-025 | S2 | 1299.3704 | 1.0721 | 6590.3942 | 5.4331 |
| PGC560930 | S2 | 2408.1141 | 1.9771 | 14179.6704 | 11.6322 |
| NGC7590 | S2 | 1544.1681 | 1.2793 | 10627.5788 | 8.7977 |
| NGC7496 | S2 | 1239.7724 | 1.0229 | 5245.4064 | 4.3243 |
| ESO292-009 | S2 | 1239.8559 | 1.0205 | 6269.0047 | 5.1554 |
| ESO153-020 | S2 | 1235.4802 | 1.0144 | 5007.3836 | 4.1078 |
| PGC376693 | S1.9 | 1263.7355 | 1.0393 | 5901.6188 | 4.8493 |
| PGC073132 | S2 | 1220.1782 | 1.0429 | 7018.8012 | 5.9939 |
| ESO113-010 | S1.8 | 1447.7021 | 1.1828 | 38613.2191 | 31.5210 |
| ESO116-018 | S2 | 1217.2844 | 1.0019 | 4051.7444 | 3.3320 |
| PGC097511 | S2 | 1217.7015 | 1.0014 | 4370.6723 | 3.5913 |
| PGC397822 | S1.5 | 1517.5511 | 1.2408 | 12698.7521 | 10.3748 |
| ESO157-023 | S2 | 1353.8275 | 1.1152 | 5633.5847 | 4.6367 |
| ESO033-002 | S2 | 1261.5009 | 1.0340 | 4603.7948 | 3.7705 |
| ESO055-002 | S2 | 1223.0460 | 1.0000 | 7180.1590 | 5.8661 |
| PGC268761 | S2 | 1368.6696 | 1.1237 | 7597.3149 | 6.2324 |
| IC2202 | S2 | 1257.0969 | 1.0389 | 4818.1727 | 3.9787 |
| ESO121-028 | S2 | 1401.4077 | 1.1496 | 6906.3016 | 5.6609 |
| PGC326141 | S2 | 1259.2681 | 1.0322 | 5354.4400 | 4.3853 |
