| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| 2MASXJ10041548+6452471 | S2 | 1315.9078 | 1.0911 | 4880.4817 | 4.0435 |
| PGC2629320 | S2 | 1201.4050 | 1.0804 | 4208.1496 | 3.7809 |
| PGC2669771 | S2 | 1245.0415 | 1.0307 | 4094.3890 | 3.3866 |
| PGC2615419 | S2 | 1205.0994 | 1.0001 | 6056.3270 | 5.0218 |
| PGC3136887 | S2 | 1238.2962 | 1.0183 | 3948.4878 | 3.2444 |
| PGC3138301 | S2 | 1206.1468 | 1.0010 | 4356.0692 | 3.6120 |
| PGC3138063 | S2 | 1225.0253 | 1.0058 | 4366.7231 | 3.5822 |
| 2MASXJ10095472+6444122 | S2 | 1221.3718 | 1.0011 | 5280.0870 | 4.3244 |
| PGC033338 | S2 | 1217.2030 | 1.0060 | 5985.7112 | 4.9428 |
| PGC3138800 | S2 | 1135.4114 | 1.0313 | 4759.3247 | 4.3188 |
| PGC2645885 | S2 | 1573.0648 | 1.3054 | 22309.9599 | 18.4991 |
| PGC3140129 | S2 | 1686.1784 | 1.3912 | 7567.5833 | 6.2387 |
| PGC2626392 | S2 | 1202.8167 | 1.0049 | 4492.5398 | 3.7500 |
| UGC05153 | S2 | 1164.7030 | 1.0006 | 4336.5028 | 3.7223 |
| PGC2667324 | S2 | 1244.8684 | 1.0179 | 4652.9348 | 3.8014 |
| PGC2605702 | S2 | 1217.0776 | 1.0001 | 3887.8747 | 3.1920 |
| SDSSJ093846.43+605722.8 | S2 | 1214.0305 | 1.0000 | 4567.8401 | 3.7595 |
| PGC2627089 | S2 | 1366.9885 | 1.1420 | 6749.0536 | 5.6336 |
| PGC2677210 | S2 | 1247.2462 | 1.0282 | 4423.5111 | 3.6437 |
| PGC2674265 | S2 | 1290.4935 | 1.0613 | 4993.5970 | 4.1032 |
| SDSSJ110739.89+652851.0 | S2 | 1392.8686 | 1.1343 | 12200.9842 | 9.9276 |
| PGC3140134 | S2 | 1202.1359 | 1.0001 | 4264.8949 | 3.5452 |
| PGC2815913 | S2 | 1236.5334 | 1.0045 | 4815.2195 | 3.9085 |
| SDSSJ095941.73+580545.8 | S2 | 1327.0873 | 1.0781 | 4629.4809 | 3.7577 |
| PGC2678610 | S2 | 1284.6179 | 1.0599 | 6430.5674 | 5.3014 |
| PGC2669765 | S1.5 | 1216.5254 | 1.0037 | 3950.4179 | 3.2567 |
| PGC3137610 | S2 | 1268.0802 | 1.0386 | 5913.8587 | 4.8395 |
| PGC3137984 | S2 | 1220.4046 | 1.0196 | 4407.2758 | 3.6789 |
| PGC2659277 | S2 | 1236.5946 | 1.0086 | 8664.0370 | 7.0612 |
| UGC05904 | S2 | 1362.5973 | 1.1178 | 5626.1641 | 4.6116 |
| PGC3137480 | S2 | 1303.4752 | 1.0853 | 4239.4700 | 3.5270 |
| PGC2626480 | S2 | 1232.2504 | 1.0142 | 6610.5522 | 5.4363 |
| PGC2606281 | S2 | 1271.2111 | 1.0471 | 4198.5374 | 3.4556 |
| SDSSJ100449.29+642928.5 | S2 | 1218.7675 | 1.0023 | 4342.9561 | 3.5686 |
| 2MASXJ10100970+6350225 | S2 | 1245.0201 | 1.0272 | 4930.0460 | 4.0643 |
| PGC3140181 | S2 | 1318.3025 | 1.0797 | 5959.0998 | 4.8765 |
| PGC3139023 | S2 | 1121.0833 | 1.0010 | 5020.5538 | 4.4786 |
| PGC2662315 | S2 | 1235.9531 | 1.0139 | 3945.9287 | 3.2344 |
| PGC2603859 | S2 | 1255.5800 | 1.0241 | 5232.8653 | 4.2648 |
| PGC2650781 | S2 | 1299.6632 | 1.0804 | 5009.5118 | 4.1607 |
| PGC3136929 | S2 | 1254.7395 | 1.0310 | 7657.0034 | 6.2865 |
| PGC3086587 | S2 | 1238.1805 | 1.0292 | 4511.1652 | 3.7468 |
| PGC3138173 | S2 | 1216.8291 | 1.0007 | 4661.8917 | 3.8306 |
| PGC031257 | S2 | 1450.6036 | 1.1969 | 6308.5489 | 5.2008 |
| PGC3139123 | S2 | 1393.7396 | 1.1576 | 4922.5205 | 4.0851 |
| SDSSJ094350.92+610255.9 | S2 | 1077.8704 | 1.0045 | 6852.1297 | 6.3800 |
| PGC2606089 | S2 | 1244.2839 | 1.0283 | 4677.8802 | 3.8628 |
| PGC3136925 | S2 | 1243.6805 | 1.0119 | 4609.8128 | 3.7478 |
| PGC3137876 | S2 | 1199.6895 | 1.0090 | 4505.1339 | 3.7858 |
| SDSSJ095224.42+613615.3 | S2 | 1389.1734 | 1.1548 | 5058.5623 | 4.2015 |
| PGC2685386 | S2 | 1247.1342 | 1.0206 | 5314.4686 | 4.3454 |
| PGC2633575 | S2 | 1197.5449 | 1.0013 | 5086.0467 | 4.2490 |
| PGC2667780 | S2 | 1208.2821 | 1.0002 | 4294.8241 | 3.5524 |
| PGC3140095 | S2 | 1272.8994 | 1.0520 | 4733.4173 | 3.9087 |
| PGC2650924 | S2 | 1186.9014 | 1.0179 | 4218.1125 | 3.6145 |
| PGC3137936 | S2 | 1141.0575 | 1.0161 | 3812.8826 | 3.3922 |
| PGC3136761 | S1.8 | 1084.3042 | 1.0200 | 4336.1252 | 4.0753 |
| PGC2655256 | S2 | 1233.8305 | 1.0155 | 4727.4912 | 3.8877 |
| PGC3137956 | S2 | 1448.3794 | 1.1940 | 5466.8748 | 4.5032 |
| PGC2692807 | S2 | 1692.7683 | 1.4013 | 8739.2379 | 7.2285 |
| PGC2620465 | S2 | 1291.7278 | 1.0910 | 5194.5662 | 4.3836 |
| PGC3137466 | S2 | 1208.1033 | 1.0001 | 4660.8470 | 3.8551 |
| PGC3137073 | S2 | 1189.0082 | 1.0102 | 4214.3314 | 3.5775 |
| PGC3086444 | S2 | 1238.0851 | 1.0215 | 5629.8873 | 4.6413 |
| SDSSJ103622.19+635553.0 | S2 | 1226.9186 | 1.0106 | 4065.4596 | 3.3461 |
| PGC3136938 | S2 | 1266.1417 | 1.0507 | 6471.9013 | 5.3664 |
| PGC3086540 | S2 | 1227.2690 | 1.0227 | 5022.6395 | 4.1820 |
| PGC3137667 | S2 | 1162.1084 | 1.0275 | 4101.7842 | 3.6235 |
| PGC2677315 | S2 | 1229.5732 | 1.0170 | 3805.4430 | 3.1450 |
| PGC2625582 | S2 | 1079.9330 | 1.0140 | 5175.5029 | 4.8551 |
| PGC3140445 | S2 | 1201.6472 | 1.0106 | 5872.8461 | 4.9352 |
| PGC3136827 | S2 | 1356.8814 | 1.1345 | 8237.7638 | 6.8820 |
| PGC3137479 | S2 | 1405.5109 | 1.1549 | 5172.1802 | 4.2465 |
| PGC2611157 | S2 | 1224.9004 | 1.0073 | 4739.3395 | 3.8943 |
| SDSSJ095325.76+640408.3 | S2 | 1365.9872 | 1.1215 | 4308.4335 | 3.5344 |
| PGC2462328 | S2 | 1262.7174 | 1.0333 | 4506.0338 | 3.6844 |
| PGC2334487 | S2 | 1238.0763 | 1.0387 | 6543.4106 | 5.4848 |
| PGC2568765 | S2 | 1055.8012 | 1.0027 | 4453.3486 | 4.2252 |
| PGC3136645 | S2 | 1217.9379 | 1.0032 | 6041.6532 | 4.9726 |
| PGC3135292 | S2 | 1257.0924 | 1.0329 | 4153.0380 | 3.4097 |
| PGC3135656 | S2 | 1198.6698 | 1.0039 | 4177.5231 | 3.4958 |
| PGC165524 | S2 | 1187.5689 | 1.0056 | 4593.9749 | 3.8866 |
| PGC3136258 | S2 | 1213.1245 | 1.0009 | 5705.4370 | 4.7036 |
| PGC2423644 | S2 | 1311.7847 | 1.0674 | 5573.2995 | 4.5311 |
| SDSSJ090945.14+533023.8 | S2 | 1641.9955 | 1.3459 | 6858.4454 | 5.6171 |
| PGC2526479 | S2 | 1288.1560 | 1.0456 | 5396.2664 | 4.3765 |
| PGC3135245 | S2 | 1244.5178 | 1.0209 | 12397.9184 | 10.1622 |
| PGC3132610 | S2 | 1331.1096 | 1.0857 | 5328.1250 | 4.3424 |
| PGC3095851 | S2 | 1233.9421 | 1.0024 | 5332.8775 | 4.3286 |
| PGC3132823 | S2 | 1310.4535 | 1.0654 | 5824.2865 | 4.7313 |
| PGC2564009 | S2 | 1455.3233 | 1.1919 | 5138.1221 | 4.2047 |
| PGC2566852 | S2 | 1359.1613 | 1.1187 | 5833.5449 | 4.7973 |
| PGC2409406 | S2 | 1245.4364 | 1.0150 | 5727.7290 | 4.6643 |
| PGC3135572 | S2 | 1082.8308 | 1.0008 | 5178.3330 | 4.7815 |
| PGC3132564 | S2 | 1356.4183 | 1.1064 | 6096.9638 | 4.9690 |
| PGC2444507 | S2 | 1262.7773 | 1.0393 | 4986.7169 | 4.1009 |
| PGC3132124 | S2 | 1196.3860 | 1.0217 | 6281.3066 | 5.3595 |
| SDSSJ094557.03+570803.2 | S2 | 1330.4077 | 1.1133 | 28992.3539 | 24.2411 |
| PGC3134910 | S2 | 1257.1465 | 1.0204 | 4790.8712 | 3.8855 |
| PGC2543614 | S2 | 1204.4929 | 1.0312 | 4163.0328 | 3.5612 |
| 2MASXJ09195832+5801243 | S2 | 1179.6028 | 1.0099 | 5252.1183 | 4.4928 |
| PGC2393686 | S2 | 1253.0800 | 1.0155 | 5120.5404 | 4.1462 |
| PGC2560944 | S2 | 1217.9359 | 1.0049 | 3749.9704 | 3.0915 |
| SDSSJ100329.85+511630.6 | S2 | 1270.5679 | 1.0347 | 4847.2265 | 3.9440 |
| SDSSJ090509.96+523156.7 | S2 | 1462.1191 | 1.1907 | 5596.4033 | 4.5536 |
| SDSSJ090153.38+515652.3 | S2 | 1247.2117 | 1.0132 | 5784.1503 | 4.6949 |
| PGC3132468 | S2 | 1258.6343 | 1.0233 | 9355.3220 | 7.5998 |
| PGC2495014 | S2 | 1251.3489 | 1.0249 | 5672.8414 | 4.6423 |
| PGC3132510 | S2 | 1325.8783 | 1.0788 | 5379.7359 | 4.3738 |
| 2MASXJ09015537+5342501 | S2 | 1272.2454 | 1.0611 | 6193.6844 | 5.1614 |
| PGC2532201 | S2 | 1543.0659 | 1.2956 | 5007.9409 | 4.2013 |
| SDSSJ085820.36+523553.6 | S2 | 1445.7862 | 1.1735 | 5906.4665 | 4.7903 |
| PGC2544590 | S2 | 1225.1772 | 1.0010 | 5400.8858 | 4.4089 |
| PGC3132167 | S2 | 1207.3448 | 1.0078 | 4189.1826 | 3.4939 |
| NGC2686A | S2 | 1266.6760 | 1.0591 | 4652.1275 | 3.8865 |
| SDSSJ094330.66+562530.8 | S2 | 1099.0879 | 1.0028 | 3651.5943 | 3.3287 |
| PGC2401118 | S2 | 1226.2703 | 1.0002 | 7280.9983 | 5.9340 |
| PGC2407546 | S2 | 1336.2006 | 1.0863 | 5179.0986 | 4.2072 |
| PGC2398998 | S2 | 1230.8295 | 1.0039 | 4897.7481 | 3.9916 |
| PGC3132757 | S2 | 1278.8313 | 1.0372 | 5384.4079 | 4.3634 |
| PGC2488427 | S2 | 1263.5661 | 1.0298 | 4985.9112 | 4.0602 |
| PGC2387525 | S2 | 1230.1750 | 1.0050 | 4870.6916 | 3.9761 |
| PGC3133062 | S2 | 1271.7063 | 1.0398 | 5708.6810 | 4.6640 |
| PGC2572072 | S2 | 1226.7902 | 1.0327 | 6476.6710 | 5.4472 |
| SDSSJ090320.45+523336.1 | S2 | 1523.4488 | 1.2528 | 6856.0670 | 5.6336 |
| SDSSJ090410.80+531621.5 | S2 | 1227.2026 | 1.0051 | 4978.3481 | 4.0739 |
| SDSSJ090226.73+545952.2 | S2 | 1303.9493 | 1.0785 | 5917.2818 | 4.8903 |
| PGC3134065 | S2 | 1256.6489 | 1.0233 | 5296.2297 | 4.3094 |
| 2MASXJ09250628+5414119 | S2 | 1489.3071 | 1.2158 | 6147.9455 | 5.0146 |
| PGC2493931 | S2 | 1252.0565 | 1.0271 | 4430.0401 | 3.6312 |
| PGC2567089 | S2 | 1217.0063 | 1.0000 | 5429.1569 | 4.4574 |
| PGC3132766 | S2 | 1232.1969 | 1.0002 | 5557.5877 | 4.5074 |
| PGC2577638 | S2 | 1231.3599 | 1.0270 | 6384.5090 | 5.3204 |
| PGC3133598 | S2 | 1278.1933 | 1.0434 | 5310.3802 | 4.3315 |
| PGC2449906 | S2 | 1227.9084 | 1.0032 | 4895.9666 | 3.9967 |
| PGC3134145 | S2 | 1251.9193 | 1.0170 | 3892.1958 | 3.1592 |
| PGC3135169 | S2 | 1273.8621 | 1.0502 | 4452.4147 | 3.6676 |
| PGC3133289 | S2 | 1231.4382 | 1.0028 | 5201.4092 | 4.2322 |
| PGC3133009 | S2 | 1328.3600 | 1.0782 | 5594.7905 | 4.5375 |
| PGC3087315 | S2 | 1226.0504 | 1.0124 | 5581.6109 | 4.6053 |
| PGC2518428 | S2 | 1238.4841 | 1.0143 | 15959.2961 | 13.0600 |
| 2MASXJ09133811+5138558 | S2 | 1286.8989 | 1.0540 | 6431.3587 | 5.2630 |
| PGC3133892 | S2 | 1256.2911 | 1.0289 | 4968.8826 | 4.0662 |
| PGC2554808 | S2 | 1215.4011 | 1.0003 | 4160.0871 | 3.4211 |
| PGC3133470 | S2 | 1420.0993 | 1.1536 | 6139.9046 | 4.9837 |
| PGC2508139 | S2 | 1404.6127 | 1.1420 | 5437.9466 | 4.4175 |
| PGC2484892 | S2 | 1236.4915 | 1.0045 | 5468.6755 | 4.4389 |
| PGC3132430 | S2 | 1252.5311 | 1.0200 | 5150.4267 | 4.1907 |
| PGC2444571 | S2 | 1231.5435 | 1.0013 | 5183.5305 | 4.2108 |
| SDSSJ090753.31+523434.0 | S2 | 1232.5245 | 1.0029 | 5310.5914 | 4.3176 |
| PGC3133303 | S2 | 1300.5024 | 1.0642 | 6407.7155 | 5.2393 |
| PGC3133048 | S2 | 1266.7178 | 1.0391 | 5556.5328 | 4.5545 |
| SDSSJ085512.14+483609.2 | S2 | 1596.3252 | 1.3655 | 5884.0043 | 5.0291 |
| PGC2388634 | S2 | 1158.9265 | 1.0008 | 4948.2382 | 4.2694 |
| PGC2495931 | S2 | 1229.5141 | 1.0029 | 5729.2746 | 4.6693 |
| PGC3135851 | S2 | 1375.2609 | 1.1172 | 10124.3360 | 8.2178 |
| PGC3135994 | S2 | 1184.0335 | 1.0000 | 3903.5356 | 3.2941 |
| PGC2456992 | S2 | 1249.7870 | 1.0169 | 6782.7904 | 5.5145 |
| PGC2575574 | S2 | 1291.4134 | 1.0585 | 5678.2970 | 4.6505 |
| PGC3132769 | S2 | 1327.4474 | 1.0766 | 5564.7215 | 4.5095 |
| NGC3079 | S2 | 1596.7804 | 1.3003 | 11567.8847 | 9.4124 |
| PGC2578772 | S2 | 1372.7029 | 1.1307 | 5602.2233 | 4.6109 |
| PGC3134461 | S2 | 1243.2417 | 1.0216 | 4079.2108 | 3.3491 |
| PGC3132584 | S2 | 1454.5602 | 1.1893 | 6073.7940 | 4.9622 |
| PGC2427191 | S2 | 1332.1936 | 1.0840 | 4949.6261 | 4.0241 |
| PGC2380494 | S2 | 1192.6227 | 1.0014 | 5463.2101 | 4.5832 |
| PGC3136737 | S2 | 1225.9727 | 1.0008 | 5274.2119 | 4.3020 |
| PGC2422428 | S2 | 1243.0648 | 1.0123 | 4115.6271 | 3.3488 |
| PGC2457633 | S2 | 1221.9774 | 1.0074 | 6940.5584 | 5.7171 |
| SDSSJ092152.46+515348.0 | S2 | 1288.4261 | 1.0535 | 5438.7352 | 4.4434 |
| PGC3135130 | S2 | 1259.7925 | 1.0284 | 5112.2016 | 4.1698 |
| PGC2492988 | S2 | 1285.7094 | 1.0732 | 6911.4375 | 5.7643 |
| PGC2462327 | S2 | 1363.6222 | 1.1132 | 5285.5896 | 4.3112 |
| PGC3132202 | S2 | 1334.2622 | 1.1193 | 5245.2510 | 4.3967 |
| PGC2496920 | S2 | 1229.1985 | 1.0042 | 12354.0991 | 10.0850 |
| PGC3135181 | S2 | 1365.9747 | 1.1224 | 5746.0433 | 4.7176 |
| SDSSJ094209.00+570019.6 | S2 | 1454.2096 | 1.1920 | 5546.7720 | 4.5428 |
| SDSSJ090619.21+512408.6 | S2 | 1271.4483 | 1.0337 | 5773.5499 | 4.6901 |
| PGC2430714 | S2 | 1433.9405 | 1.1725 | 7465.4613 | 6.0992 |
| PGC3133042 | S2 | 1240.9788 | 1.0089 | 5290.0412 | 4.2974 |
| PGC2568069 | S2 | 1233.0658 | 1.0115 | 4689.8304 | 3.8441 |
| PGC2480446 | S2 | 1235.4901 | 1.0086 | 5165.0985 | 4.2130 |
| PGC3133868 | S2 | 1404.6079 | 1.1466 | 7478.1971 | 6.0997 |
| PGC025658 | S2 | 1225.5010 | 1.0020 | 5957.8349 | 4.8675 |
| PGC2506315 | S2 | 1307.7224 | 1.0667 | 5246.6146 | 4.2760 |
| PGC3095857 | S1.5 | 1237.2478 | 1.0018 | 5922.4194 | 4.7916 |
| PGC3132992 | S2 | 1235.4827 | 1.0053 | 5145.1484 | 4.1830 |
| PGC2469495 | S2 | 1207.4028 | 1.0012 | 4745.6101 | 3.9317 |
| SDSSJ095906.60+510325.3 | S2 | 1249.2019 | 1.0265 | 5720.9566 | 4.6970 |
| PGC2438366 | S2 | 1232.9276 | 1.0073 | 6917.1060 | 5.6466 |
| PGC2544317 | S2 | 1223.7884 | 1.0015 | 4542.9457 | 3.7146 |
| PGC3135490 | S2 | 1247.6287 | 1.0260 | 5765.9712 | 4.7379 |
| PGC2584449 | S2 | 1531.2409 | 1.2676 | 6894.8900 | 5.7030 |
| PGC2526444 | S2 | 1178.8896 | 1.0423 | 6286.4206 | 5.5534 |
| PGC3132654 | S2 | 1332.2443 | 1.0947 | 5966.2335 | 4.8984 |
| PGC2552065 | S2 | 1228.7421 | 1.0138 | 4042.0479 | 3.3323 |
| PGC3133160 | S2 | 1240.7174 | 1.0063 | 5106.4929 | 4.1382 |
| PGC2539397 | S2 | 1348.8525 | 1.1250 | 4885.3594 | 4.0711 |
| 2MASXJ09011536+5251106 | S2 | 1274.3149 | 1.0377 | 6260.5358 | 5.0940 |
| PGC3135765 | S2 | 1259.0443 | 1.0337 | 6509.1109 | 5.3397 |
| PGC2390368 | S2 | 1233.6281 | 1.0087 | 5281.6557 | 4.3151 |
| PGC2442524 | S2 | 1232.6240 | 1.0021 | 4947.4331 | 4.0190 |
| PGC2424518 | S2 | 1289.3960 | 1.0509 | 4249.0979 | 3.4602 |
| 2MASXJ09094201+5855327 | S2 | 1265.9233 | 1.0351 | 5564.3507 | 4.5460 |
| PGC2538980 | S2 | 1227.1196 | 1.0017 | 4976.9764 | 4.0595 |
| PGC2428097 | S2 | 1234.1481 | 1.0042 | 5022.8240 | 4.0836 |
| PGC3133873 | S2 | 1262.5905 | 1.0290 | 5316.1919 | 4.3291 |
| PGC3136088 | S2 | 1253.9598 | 1.0287 | 7341.6520 | 6.0177 |
| PGC3133931 | S2 | 1484.7223 | 1.2081 | 6576.8802 | 5.3471 |
| PGC3135225 | S2 | 1246.3517 | 1.0250 | 4578.5977 | 3.7622 |
| PGC3135097 | S2 | 1226.1177 | 1.0058 | 3685.5888 | 3.0210 |
| 2MASXJ09141710+5818404 | S2 | 1334.0494 | 1.0881 | 5844.0293 | 4.7629 |
| PGC3135594 | S2 | 1229.4425 | 1.0028 | 5250.4650 | 4.2791 |
| PGC3133037 | S2 | 1220.6287 | 1.0063 | 6067.9315 | 4.9983 |
| PGC2541064 | S2 | 1370.6615 | 1.1207 | 6896.8833 | 5.6347 |
| UGC06100 | S2 | 1219.5520 | 1.0079 | 16213.3415 | 13.3884 |
| 2MASXJ10255463+4714242 | S2 | 1222.8610 | 1.0363 | 5188.8675 | 4.3936 |
| SDSSJ102607.85+522038.8 | S2 | 1234.0121 | 1.0065 | 4486.8976 | 3.6568 |
| SDSSJ100854.43+461300.6 | S2 | 1287.2172 | 1.0457 | 5878.3451 | 4.7714 |
| PGC139299 | S1.8 | 1229.4574 | 1.0012 | 6352.3906 | 5.1687 |
| SDSSJ110709.35+511328.5 | S2 | 1336.1587 | 1.1024 | 9281.8647 | 7.6520 |
| PGC032820 | S1.5 | 1212.8621 | 1.0133 | 3763.4716 | 3.1415 |
| PGC2699480 | S2 | 1449.6310 | 1.1560 | 6596.2937 | 5.2560 |
| PGC3140525 | S2 | 1350.5295 | 1.0753 | 6981.8684 | 5.5544 |
| PGC2683414 | S2 | 1359.6983 | 1.0860 | 6678.1180 | 5.3297 |
| SDSSJ112424.59+653945.7 | S2 | 1296.1637 | 1.0295 | 6074.1063 | 4.8207 |
| PGC3141091 | S2 | 1300.7800 | 1.0348 | 5534.7240 | 4.3996 |
| PGC3140497 | S2 | 1254.1376 | 1.0001 | 5260.9414 | 4.1920 |
| PGC3141174 | S2 | 1259.2127 | 1.0002 | 6160.1051 | 4.8890 |
| PGC3140843 | S2 | 1324.1147 | 1.0517 | 5699.6976 | 4.5236 |
| PGC2698968 | S2 | 1257.8028 | 1.0022 | 5633.4355 | 4.4852 |
| NGC2985 | S1.9 | 1400.3978 | 1.1221 | 7686.2609 | 6.1539 |
| PGC3140080 | S2 | 1272.0057 | 1.0168 | 5213.6897 | 4.1643 |
| PGC034880 | S2 | 1250.2469 | 1.0010 | 5643.2017 | 4.5146 |
| NGC3735 | S2 | 1344.0563 | 1.0727 | 7345.3021 | 5.8575 |
| PGC3140567 | S2 | 1276.1128 | 1.0152 | 7157.5565 | 5.6896 |
| PGC2705236 | S2 | 1389.7480 | 1.1056 | 5948.1952 | 4.7283 |
