| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| PGC028653 | S2 | 973.9096 | 1.1431 | 3538.4840 | 4.1483 |
| PGC139262 | S1.5 | 944.6977 | 1.1010 | 3715.8154 | 4.3257 |
| PGC2099347 | S2 | 886.0123 | 1.0291 | 2888.5576 | 3.3510 |
| SDSSJ091231.94+451420.6 | S2 | 1169.9304 | 1.0502 | 3617.8120 | 3.2447 |
| SDSSJ085049.76+462626.9 | S2 | 1109.0611 | 1.0147 | 3726.4023 | 3.4062 |
| 3C219 | S1.9 | 1131.9975 | 1.0107 | 3689.2266 | 3.2910 |
| SDSSJ092132.98+441345.1 | S2 | 1204.1318 | 1.0809 | 3476.9747 | 3.1184 |
| SDSSJ090801.32+434722.6 | S2 | 1140.1426 | 1.0225 | 3579.9521 | 3.2078 |
| NGC2782 | S2 | 1093.3491 | 1.0003 | 9239.9605 | 8.4460 |
| SDSSJ084041.04+383819.8 | S2 | 1324.3841 | 1.1804 | 43310.2969 | 38.5666 |
| PGC2203158 | S2 | 1126.5295 | 1.0058 | 5465.7547 | 4.8758 |
| SDSSJ084148.92+384602.0 | S2 | 1184.6354 | 1.0615 | 4871.6125 | 4.3613 |
| SDSSJ092014.11+453157.2 | S2 | 1140.3349 | 1.0246 | 3426.2500 | 3.0756 |
| 3C223.1 | S2 | 1149.9040 | 1.0350 | 4159.2580 | 3.7403 |
| NGC2622 | S1.8 | 1103.0570 | 1.5781 | 4739.2098 | 6.7703 |
| PGC024727 | S2 | 739.7467 | 1.0419 | 2521.2384 | 3.5460 |
| PGC2820096 | S2 | 797.6204 | 1.1140 | 4181.2546 | 5.8316 |
| PGC087423 | S2 | 802.9267 | 1.1357 | 3620.4333 | 5.1136 |
| PGC087421 | S2 | 949.7984 | 1.3377 | 6033.9407 | 8.4866 |
| PGC024369 | S2 | 798.5429 | 1.1279 | 3225.3088 | 4.5491 |
| PGC028004 | S2 | 1287.6971 | 1.1518 | 4238.4246 | 3.7877 |
| PGC029600 | S1.5 | 1137.0624 | 1.0098 | 3807.7612 | 3.3787 |
| PGC1863160 | S2 | 1159.2270 | 1.0213 | 5224.7179 | 4.5992 |
| PGC3138556 | S2 | 1339.8665 | 1.0992 | 5505.8321 | 4.5130 |
| PGC3138703 | S2 | 1440.4473 | 1.2187 | 6542.5311 | 5.5305 |
| PGC2616039 | S2 | 1350.0991 | 1.1223 | 4897.3202 | 4.0675 |
| PGC2816009 | S2 | 1273.1766 | 1.0505 | 5063.2808 | 4.1742 |
| SDSSJ104505.39+561118.3 | S2 | 1339.4625 | 1.0934 | 5552.8153 | 4.5292 |
| PGC036772 | S2 | 1419.0742 | 1.1632 | 6744.4409 | 5.5237 |
| SDSSJ115718.35+600345.6 | S2 | 1354.8249 | 1.1206 | 4935.5399 | 4.0790 |
| PGC035432 | S2 | 1262.0788 | 1.0328 | 5283.9995 | 4.3205 |
| PGC2500941 | S2 | 1301.1942 | 1.0754 | 8679.3640 | 7.1671 |
| PGC3138880 | S2 | 1265.1146 | 1.0353 | 5245.5025 | 4.2890 |
| SDSSJ115323.95+583138.4 | S1.5 | 1222.0000 | 1.0000 | 4512.1928 | 3.6894 |
| PGC3095994 | S2 | 1236.0843 | 1.0049 | 5100.9953 | 4.1438 |
| NGC3982 | S1.9 | 1355.7371 | 1.1004 | 6559.0562 | 5.3196 |
| PGC3138515 | S2 | 1194.0021 | 1.0034 | 5916.2401 | 4.9675 |
| PGC035858 | S2 | 1199.9324 | 1.0008 | 4315.6333 | 3.5964 |
| PGC036114 | S1.5 | 1240.9987 | 1.0089 | 33742.2372 | 27.4104 |
| PGC3138266 | S2 | 1230.4623 | 1.0102 | 6241.6438 | 5.1203 |
| PGC3138388 | S2 | 1562.1600 | 1.2857 | 6821.3595 | 5.6097 |
| PGC2815973 | S2 | 1240.2127 | 1.0042 | 19352.2354 | 15.6571 |
| PGC035468 | S1.5 | 1258.1350 | 1.0313 | 7103.8484 | 5.8181 |
| PGC2644989 | S2 | 1293.1144 | 1.0617 | 5277.7372 | 4.3296 |
| PGC2674540 | S2 | 1315.2166 | 1.1427 | 5841.6967 | 5.0709 |
| PGC2672470 | S2 | 1314.8051 | 1.0795 | 4544.3479 | 3.7279 |
| PGC3139110 | S2 | 1195.0142 | 1.0025 | 6290.0189 | 5.2724 |
| PGC2644452 | S2 | 1219.1417 | 1.0076 | 3914.2011 | 3.2322 |
| PGC3139043 | S2 | 1283.6629 | 1.0600 | 5254.2244 | 4.3352 |
| PGC2647814 | S2 | 1236.8218 | 1.0359 | 4479.0013 | 3.7481 |
| PGC2634935 | S2 | 1173.7727 | 1.0127 | 3903.9995 | 3.3655 |
| PGC3086581 | S2 | 1216.9006 | 1.0024 | 4230.2258 | 3.4817 |
| PGC2582737 | S2 | 1159.1661 | 1.0635 | 7936.6684 | 7.2747 |
| PGC2630782 | S2 | 1177.8069 | 1.0535 | 39586.9889 | 35.3771 |
| PGC3137272 | S2 | 1268.1965 | 1.0757 | 4451.6392 | 3.7726 |
| PGC2610697 | S2 | 1265.8084 | 1.0342 | 5104.4000 | 4.1669 |
| PGC3140449 | S2 | 1217.1840 | 1.0220 | 5696.1047 | 4.7786 |
| PGC3138125 | S2 | 1187.1106 | 1.0035 | 4509.8527 | 3.8090 |
| PGC097527 | S2 | 1170.2239 | 1.0002 | 5779.3401 | 4.9354 |
| PGC2680912 | S2 | 1242.4524 | 1.0151 | 5034.5739 | 4.1099 |
| PGC2660851 | S2 | 1122.5771 | 1.0005 | 5811.5380 | 5.1750 |
| PGC2678303 | S2 | 1217.6392 | 1.0030 | 4250.2913 | 3.4982 |
| SDSSJ095432.38+634657.2 | S2 | 1586.0673 | 1.3054 | 5825.6140 | 4.7908 |
| PGC2664816 | S2 | 1261.1986 | 1.0440 | 4347.8315 | 3.5962 |
| PGC2681948 | S2 | 1220.5844 | 1.0005 | 4712.2813 | 3.8594 |
| SDSSJ103639.38+640924.7 | S2 | 1288.3270 | 1.0612 | 6584.6601 | 5.4195 |
| SDSSJ102855.99+571223.7 | S2 | 1244.2474 | 1.0116 | 5086.9051 | 4.1323 |
