| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| PGC086000 | S1.8 | 990.9938 | 1.0123 | 3685.1954 | 3.7604 |
| PGC019313 | S2 | 987.0088 | 1.0092 | 3390.7100 | 3.4634 |
| ESO306-025 | S2 | 985.7762 | 1.0059 | 3272.9152 | 3.3363 |
| ESO362-008 | S2 | 976.9377 | 1.0010 | 3758.3515 | 3.8468 |
| ESO362-018 | S1.5 | 987.4035 | 1.0024 | 48729.4410 | 49.4213 |
| ESO253-008 | S2 | 979.4237 | 1.0004 | 5334.2100 | 5.4431 |
| ESO253-003 | S2 | 1058.5633 | 1.0835 | 4010.9130 | 4.1011 |
| PGC017883 | S2 | 987.4488 | 1.0097 | 4102.8686 | 4.1909 |
| ESO121-028 | S2 | 1184.3400 | 1.2085 | 6079.2372 | 6.1970 |
| PGC326141 | S2 | 980.9823 | 1.0010 | 3316.8465 | 3.3811 |
| ESO033-002 | S2 | 978.8708 | 1.0009 | 4476.1039 | 4.5721 |
| ESO055-002 | S2 | 1014.8629 | 1.0377 | 3483.6614 | 3.5584 |
| PGC268761 | S2 | 971.5854 | 1.0047 | 6899.9095 | 7.1280 |
| IC2202 | S2 | 1257.1337 | 1.2974 | 5734.1324 | 5.9115 |
