| Object_Name | AGN_Type | Chi2_Test1 | Reduced_Chi2_Test1 | Chi2_Test2 | Reduced_Chi2_Test2 |
| --- | --- | --- | --- | --- | --- |
| NGC1071 | S2 | 1091.3525 | 1.1875 | 3371.5720 | 3.6648 |
| PGC010875 | S2 | 1071.9783 | 1.1539 | 12153.4806 | 13.0683 |
| PGC3102958 | S2 | 974.2330 | 1.0682 | 2368.7315 | 2.5944 |
| NGC0985 | S1.5 | 1309.0126 | 1.4121 | 57726.8855 | 62.2057 |
| PGC1004226 | S2 | 938.5015 | 1.0268 | 2490.9285 | 2.7223 |
| PGC996204 | S2 | 962.2462 | 1.0325 | 2852.5569 | 3.0574 |
| SDSSJ023411.77-074538.4 | S2 | 921.5210 | 1.0038 | 2768.5234 | 3.0125 |
| PGC3102435 | S2 | 976.8434 | 1.0560 | 3125.4055 | 3.3752 |
| PGC3103581 | S2 | 1184.9693 | 1.2810 | 2921.6437 | 3.1551 |
| PGC3103960 | S2 | 1496.0241 | 1.6243 | 15838.1504 | 17.1780 |
| PGC1026552 | S2 | 929.8584 | 1.0218 | 2101.5594 | 2.3069 |
| 2MASXJ02312960-0751579 | S2 | 1041.8436 | 1.1386 | 3529.0483 | 3.8527 |
| 3C062 | S2 | 1297.1236 | 1.3888 | 8433.5864 | 9.0199 |
| PGC3101915 | S2 | 965.6370 | 1.0519 | 3098.0686 | 3.3711 |
| PGC999121 | S2 | 911.0393 | 1.0000 | 2124.2132 | 2.3292 |
| PGC1013796 | S2 | 923.1751 | 1.0002 | 2604.1616 | 2.8184 |
| SDSSJ021047.00-100152.9 | S2 | 1000.4858 | 1.0863 | 3647.0034 | 3.9555 |
| PGC996706 | S2 | 920.3368 | 1.0015 | 2695.2480 | 2.9296 |
| SDSSJ024940.18-082804.6 | S2 | 927.8125 | 1.0162 | 2031.6962 | 2.2229 |
| PGC996191 | S2 | 1045.3400 | 1.1387 | 3009.7825 | 3.2751 |
| PGC1024915 | S2 | 951.7997 | 1.0482 | 2329.1252 | 2.5623 |
| NGC1048A | S2 | 978.6617 | 1.0672 | 4209.6267 | 4.5856 |
| PGC3103535 | S2 | 912.0850 | 1.0001 | 2809.0400 | 3.0767 |
| PGC3103624 | S2 | 2060.6485 | 2.2063 | 101154.6534 | 108.1868 |
| PGC994862 | S2 | 1008.9241 | 1.0872 | 4004.9237 | 4.3110 |
| SDSSJ024655.62-071320.4 | S2 | 1022.6162 | 1.1067 | 3652.8023 | 3.9490 |
| PGC3101478 | S2 | 2359.2110 | 2.5205 | 489456.8417 | 522.3659 |
| PGC011091 | S2 | 1672.5953 | 1.8200 | 12830.6115 | 13.9463 |
| PGC3102488 | S2 | 997.7314 | 1.0798 | 2951.8508 | 3.1912 |
| NGC0835 | S2 | 951.3652 | 1.0219 | 4443.2281 | 4.7674 |
| PGC1022476 | S2 | 930.0549 | 1.0087 | 2660.1653 | 2.8821 |
| PGC3104106 | S2 | 921.4604 | 1.0005 | 2416.4139 | 2.6208 |
| PGC3101879 | S2 | 982.6057 | 1.0669 | 2988.5103 | 3.2413 |
| PGC1001111 | S2 | 927.1571 | 1.0012 | 2621.9320 | 2.8284 |
| PGC3104347 | S2 | 942.9911 | 1.0129 | 31740.6043 | 34.0564 |
| PGC1013591 | S2 | 990.2902 | 1.0741 | 3059.5515 | 3.3148 |
| PGC1002506 | S2 | 947.5026 | 1.0310 | 3801.7587 | 4.1323 |
| PGC3104250 | S2 | 984.0320 | 1.0825 | 3033.4702 | 3.3335 |
| PGC1024043 | S2 | 981.2049 | 1.0608 | 2893.7804 | 3.1250 |
| SDSSJ032021.94-075020.0 | S2 | 1115.2939 | 1.2256 | 3422.2863 | 3.7566 |
| PGC1039745 | S2 | 953.1215 | 1.0304 | 3652.7006 | 3.9446 |
| PGC3105277 | S2 | 928.5374 | 1.0006 | 3477.5505 | 3.7433 |
| PGC1004463 | S2 | 3103.0891 | 3.4025 | 29980.7425 | 32.8376 |
| PGC1029077 | S2 | 8475.8416 | 10.2119 | 78405.9017 | 94.3513 |
| PGC1157370 | S2 | 1175.2555 | 1.2597 | 3874.8872 | 4.1487 |
| SDSSJ032952.39-005407.9 | S2 | 1119.7149 | 1.2171 | 5245.8418 | 5.6958 |
| PGC1147868 | S2 | 1096.2920 | 1.1775 | 8117.7458 | 8.7100 |
