Name                     Objtype  Agnclass  RA          DEC         Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC2099347               G        S2        10.3053478  37.3783932  -352.21844698375867  2067.707967762355   21      1       1    862.0000000000001   1.0011614401858306       2888.55762812047    3.3548869083861437         
PGC028653                G        S2        9.9312603   35.9655963  857.0331464243845    2267.00866759028    21      1       1    853.0               1.0011737089201878       3538.484025223573   4.153150264346917          
PGC139262                G        S1.5      10.1972679  34.632386   733.4224266589059    2308.590367110756   21      1       1    859.0               1.0011655011655012       3715.8153740278085  4.33078714921656           
PGC2203158               G        S2        9.7651115   42.6444277  200.42764335414813   2626.165526650264   21      1       2    1121.0000000000005  1.0008928571428575       5465.754725507766   4.880138147774791          
NGC2782                  G        S2        9.2347446   40.1137263  -111.04361608775181  6216.475043197776   21      1       2    1094.0              1.000914913083257        9239.960534789818   8.453760782058387          
SDSSJ084041.04+383819.8  G        S2        8.6780654   38.6388753  -2741.069178539626   6456.86429894675    21      1       2    1123.0              1.000891265597148        43310.29689638913   38.60097762601527          
SDSSJ092132.98+441345.1  G        S2        9.3591651   44.2291797  -582.9004811659194   2050.183621300801   21      1       2    1115.0              1.0008976660682227       3476.974679218748   3.121162189603903          
SDSSJ092014.11+453157.2  G        S2        9.3372501   45.5325975  -292.0235833931778   1864.2408804943518  21      1       2    1114.0              1.0008984725965857       3426.2499551384667  3.078391693745253          
SDSSJ091231.94+451420.6  G        S2        9.2088721   45.2391029  431.5097979372198    1926.6565171746959  21      1       2    1115.0              1.0008976660682227       3617.812021695968   3.2475870930843516         
SDSSJ090801.32+434722.6  G        S2        9.1336955   43.7894947  298.2056731182796    1986.74744658422    21      1       2    1116.0              1.0008968609865472       3579.9521167527682  3.2107193872222135         
SDSSJ084148.92+384602.0  G        S2        8.6969262   38.7672995  604.1245668755596    2437.1319358081623  21      1       2    1117.0              1.0008960573476702       4871.612512850915   4.365244187142396          
SDSSJ085049.76+462626.9  G        S2        8.8471595   46.440835   -267.43753098720293  2207.211437849849   21      1       2    1094.0              1.000914913083257        3726.4022763470975  3.409334196108964          
3C223.1                  G        S2        9.690009    39.7449465  426.7682632194245    2281.640698960163   21      1       2    1112.0              1.0009000900090008       4159.257974191456   3.743706547427053          
3C219                    G        S1.9      9.3523973   45.6492697  -219.04612649420164  2117.3531964337344  21      1       2    1121.0              1.0008928571428573       3689.2266469698498  3.2939523633659373         
PGC2820096               G        S2        8.7194098   29.7346113  1064.6139005578802   3155.385651157651   21      1       3    717.0               1.0013966480446927       4181.25461848894    5.839741087275056          
PGC024369                G        S2        8.6673194   29.8174342  1010.9340991537377   2828.9070785847466  21      1       3    708.9999999999999   1.001412429378531        3225.308809702736   4.555520917659232          
PGC024727                M2       S2        8.8027337   35.2598096  -516.2572049226443   2523.955888015682   21      1       3    711.0               1.0014084507042254       2521.2383572564263  3.5510399397977834         
PGC087421                G        S2        8.606335    33.4606985  1956.4333395218      3368.8114799681784  21      1       3    710.9999999999998   1.0014084507042251       6033.940686613289   8.498508009314492          
PGC087423                G        S2        8.7291675   35.8283168  1127.9521968926551   3064.3443898413775  21      1       3    708.0               1.0014144271570014       3620.433321861352   5.120839210553539          
NGC2622                  G        S1.8      8.6363776   24.8952722  -2732.2166204285713  3596.1914915504744  21      1       3    700.0               1.0014306151645207       4739.2097926342685  6.779985397187795          
PGC1863160               G        S2        10.1296158  29.3376934  396.7353764084507    2716.691557670406   21      1       4    1136.0000000000002  1.0008810572687226       5224.717920450242   4.603275700837218          
PGC028004                G        S2        9.7667653   22.3802568  984.6466924932976    2528.472403318394   21      1       4    1119.0              1.0008944543828264       4238.4246449290185  3.7910774999365104         
PGC029600                G        S1.5      10.1707082  23.1089839  -245.72953203194317  2480.2407062055877  21      1       4    1127.0              1.0008880994671403       3807.7612329361436  3.381670721968156          
SDSSJ115718.35+600345.6  G        S2        11.9551002  60.0626477  682.2101503305785    1965.14704976721    21      2       1    1210.0              1.0008271298593878       4935.539872335301   4.082332400608189          
PGC035858                G        S2        11.5969643  56.9523375  56.97350125          2043.9331523016883  21      2       1    1200.0000000000002  1.0008340283569643       4315.6333038598805  3.599360553677965          
