Name                     Objtype  Agnclass  RA          DEC         Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
UGC04068                 G        S2        7.8825529   40.1739461  2587.8487482820983   10081.383516941107  20      1       1    1106.0              1.0009049773755656       45128.69484350589   40.840447822177275         
PGC2317854               G        S2        8.2850574   48.4555573  715.4040416438356    2031.049155346297   20      1       1    1095.0              1.0009140767824498       4119.327747513633   3.765381853303138          
PGC2329903               G        S2        8.1818122   48.9602241  131.7857308181818    2021.7465169247432  20      1       1    1099.9999999999998  1.0009099181073702       3611.9365587612283  3.286566477489744          
PGC3130531               G        S2        7.865028    43.9327135  -1470.461742520399   2971.277543088585   20      1       1    1103.0000000000002  1.000907441016334        5430.993149093604   4.928305942916157          
2MASXJ07564214+4439348   G        S2        7.945051    44.6598112  232.85316886877828   1981.9169679065985  20      1       1    1105.0              1.0009057971014492       3290.5045339686735  2.980529469174523          
2MASXJ08113873+5006289   G        S2        8.1940724   50.1082062  31.59657034358054    3449.3589077553706  20      1       1    1106.0              1.0009049773755656       5674.410315888928   5.135212955555591          
UGC04229                 G        S2        8.1280507   39.0042159  927.4793176684883    2820.06952008053    20      1       1    1098.0              1.0009115770282588       5633.960895305124   5.135789330269028          
PGC3129697               G        S2        7.6588772   40.1441366  588.4637103542234    1746.623352826361   20      1       1    1101.0              1.000909090909091        2944.789521752763   2.6770813834116027         
PGC2192814               G        S2        7.7311786   42.122799   89.9904237272727     1710.0263080974491  20      1       1    1100.0              1.0009099181073704       2546.7209679885955  2.3173075231925346         
PGC3130138               G        S2        7.7486148   41.7491174  185.285353902663     2023.155236312539   20      1       1    1089.0              1.0009191176470589       3299.0157025096323  3.032183550100765          
PGC2161398               G        S2        7.7556609   40.1499933  -1412.298938077969   6204.46319900796    20      1       1    1103.0000000000002  1.000907441016334        27724.91466634944   25.158724742603848         
PGC3130100               G        S2        7.7584573   41.5791372  75.33131042435429    2337.110856555431   20      1       1    1084.0              1.0009233610341643       3865.7907762967307  3.5695205690643865         
PGC2162568               G        S2        7.7656133   40.2227496  -7512.599881588448   10648.075789089224  20      1       1    1108.0              1.000903342366757        77818.88147137468   70.29709256673414          
PGC2209282               G        S2        7.7794076   42.9340904  496.23711828935393   2335.596896000223   20      1       1    1099.0              1.0009107468123861       3856.205347435541   3.512026728083371          
