Object	Redshift	Redshift_Error
ESO417-006	0.016305972140684206	7.238351924000641e-05
NGC0985	0.043141911725462986	4.836686769493515e-05
NGC1365	0.005464788920318087	1.3009019586913594e-05
NGC1566	0.005009806799380905	9.006244329401719e-06
PGC010875	0.016756284357154292	5.3370336766825e-06
PGC012801	0.03441519453487751	1.3676148796498905e-05
PGC097508	0.06793843731653947	9.640017078507765e-05
ESO420-013	0.01197396861824198	9.13967017131878e-05
NGC1019	0.02431285691412713	8.439184501254203e-05
