Name	RA	DEC	ML_FLUX_0	Redshift
PGC2507362	261.44541150000003	55.5858797	NULL	NULL
PGC2503925	265.58987549999995	55.4891933	NULL	NULL
PGC2518428	135.28610700000002	55.900188199999995	NULL	NULL
PGC2526444	145.52234099999998	56.127192	NULL	NULL
PGC2562939	258.158763	57.322427100000006	NULL	NULL
PGC2627089	149.65250250000003	61.917633499999994	NULL	NULL
PGC2630782	144.91002299999997	62.11255799999999	NULL	NULL
PGC2645885	153.6873675	62.9098069	NULL	NULL
PGC2648277	253.405617	63.0313226	NULL	NULL
PGC2657281	204.14261700000003	63.5343002	NULL	NULL
PGC2659277	150.57907049999997	63.6635522	NULL	NULL
PGC2678729	256.43045400000005	65.5779884	NULL	NULL
PGC2678747	196.5382785	65.5804421	NULL	NULL
PGC2683593	202.795095	66.09313440000001	NULL	NULL
PGC2686981	192.34389600000003	66.4149196	NULL	NULL
PGC2691396	203.34962700000003	66.811172	NULL	NULL
PGC2697955	206.367192	67.3033027	NULL	NULL
PGC2715086	189.7289655	68.2669087	NULL	NULL
PGC2721504	187.2639345	68.640266	NULL	NULL
PGC2815973	178.36016700000002	58.112383400000006	NULL	NULL
PGC3135565	259.35919199999995	56.6300301	NULL	NULL
PGC3135640	262.1505555	56.7425611	NULL	NULL
PGC3135851	138.87232799999998	57.1054346	NULL	NULL
PGC3136612	260.1207855	58.7971152	NULL	NULL
PGC3136754	260.15258700000004	59.1698002	NULL	NULL
PGC3136827	146.566002	59.3371662	NULL	NULL
PGC3137651	254.31122400000004	61.4413209	NULL	NULL
PGC3137681	258.92328599999996	61.5926803	NULL	NULL
PGC3138088	254.25505349999995	62.840592099999995	NULL	NULL
PGC3139447	259.99369799999994	64.6817252	NULL	NULL
PGC3140009	260.18178900000004	65.6752186	NULL	NULL
PGC3140263	186.91661100000002	66.2840867	NULL	NULL
PGC3141066	188.2741995	67.65311949999999	NULL	NULL
SDSSJ084041.04+383819.8	130.170981	38.638875299999995	NULL	NULL
SDSSJ094557.03+570803.2	146.48768249999998	57.134175	NULL	NULL
SDSSJ165641.98+632307.7	254.174895	63.385515500000004	NULL	NULL
SDSSJ171747.51+643141.0	259.4479725	64.52805129999999	NULL	NULL
SDSSJ172908.33+571901.0	262.284795	57.3169265	NULL	NULL
PGC2678729	256.43045400000005	65.5779884	NULL	NULL
PGC3136484	256.448406	58.524134700000005	NULL	NULL
PGC3136612	260.1207855	58.7971152	NULL	NULL
PGC3137947	254.27656349999995	62.4874736	NULL	NULL
PGC3138088	254.25505349999995	62.840592099999995	NULL	NULL
PGC3139447	259.99369799999994	64.6817252	NULL	NULL
PGC3140009	260.18178900000004	65.6752186	NULL	NULL
SDSSJ165641.98+632307.7	254.174895	63.385515500000004	NULL	NULL
SDSSJ171747.51+643141.0	259.4479725	64.52805129999999	NULL	NULL
SDSSJ172908.33+571901.0	262.284795	57.3169265	NULL	NULL
ESO362-018	79.8991395	-32.6577983	1.9540900147996254e-11	NULL
